,source,target,ShpName,post_type,shape_leng,st_label,betweenness_e,physicalid
5234,"(-73.94803334202766, 40.82955413348181)","(-73.94848939642341, 40.82893152883323)",CSCL_MN,,259.58489117,BROADWAY,93821.0,2939.0
5235,"(-73.94803334202766, 40.82955413348181)","(-73.9452963315124, 40.82839997666751)",CSCL_MN,ST,866.346145975,W 150 ST,5674.0,82674.0
5236,"(-73.94848939642341, 40.82893152883323)","(-73.94895013781834, 40.82830673586018)",CSCL_MN,,260.913874977,BROADWAY,97588.0,2940.0
5237,"(-73.94848939642341, 40.82893152883323)","(-73.94574702110302, 40.827776484941715)",CSCL_MN,ST,867.80738613,W 149 ST,2535.0,28147.0
5238,"(-73.94895013781834, 40.82830673586018)","(-73.94939995110563, 40.82768360288775)",CSCL_MN,,258.919382376,BROADWAY,102667.0,2941.0
5239,"(-73.94895013781834, 40.82830673586018)","(-73.94620246760523, 40.82715392471189)",CSCL_MN,ST,868.70181598,W 148 ST,2890.0,89794.0
5240,"(-73.94939995110563, 40.82768360288775)","(-73.94985768708219, 40.827060722830964)",CSCL_MN,,259.900755183,BROADWAY,106300.0,2942.0
5241,"(-73.94939995110563, 40.82768360288775)","(-73.9466610365805, 40.82652970725307)",CSCL_MN,ST,866.779287978,W 147 ST,28697.0,81862.0
5242,"(-73.94985768708219, 40.827060722830964)","(-73.95034568246736, 40.82638562576444)",CSCL_MN,,280.601681311,BROADWAY,110629.0,2943.0
5243,"(-73.94985768708219, 40.827060722830964)","(-73.9471168476167, 40.82590453192481)",CSCL_MN,ST,867.657089265,W 146 ST,4339.0,27938.0
5244,"(-73.95034568246736, 40.82638562576444)","(-73.95084005388661, 40.82571548146124)",CSCL_MN,,279.88034123,BROADWAY,115671.0,2944.0
5245,"(-73.95034568246736, 40.82638562576444)","(-73.94760500188718, 40.8252328593605)",CSCL_MN,ST,867.020261588,W 145 ST,11840.0,67049.0
5246,"(-73.95084005388661, 40.82571548146124)","(-73.95130812625182, 40.82509371255605)",CSCL_MN,,260.957316967,BROADWAY,119127.0,2945.0
5247,"(-73.95084005388661, 40.82571548146124)","(-73.94809827781033, 40.82456296054317)",CSCL_MN,ST,867.248867953,W 144 ST,643.0,81607.0
5248,"(-73.95130812625182, 40.82509371255605)","(-73.95175395615833, 40.82447025697705)",CSCL_MN,,258.497188166,BROADWAY,139114.0,2946.0
5249,"(-73.95130812625182, 40.82509371255605)","(-73.94891101733357, 40.82409816086668)",CSCL_MN,ST,756.113698425,W 143 ST,1677.0,176753.0
5250,"(-73.95175395615833, 40.82447025697705)","(-73.95220178755285, 40.823843518308536)",CSCL_MN,,259.813231432,BROADWAY,142806.0,2947.0
5251,"(-73.95175395615833, 40.82447025697705)","(-73.9496933022249, 40.82360400028122)",CSCL_MN,ST,651.820630455,W 142 ST,971.0,89945.0
5252,"(-73.95220178755285, 40.823843518308536)","(-73.9526613904509, 40.82322112322507)",CSCL_MN,,260.002323862,BROADWAY,144151.0,2948.0
5253,"(-73.95220178755285, 40.823843518308536)","(-73.95049545345547, 40.82311956498535)",CSCL_MN,ST,540.923011962,W 141 ST,6386.0,21765.0
5254,"(-73.9526613904509, 40.82322112322507)","(-73.95311103957125, 40.8225985866749)",CSCL_MN,,258.711417923,BROADWAY,148435.0,2949.0
5255,"(-73.9526613904509, 40.82322112322507)","(-73.95130048603502, 40.82265026311866)",CSCL_MN,ST,430.265240713,W 140 ST,2471.0,81856.0
5256,"(-73.95311103957125, 40.8225985866749)","(-73.9535726294737, 40.821975891625556)",CSCL_MN,,260.368170781,BROADWAY,151381.0,2950.0
5257,"(-73.95311103957125, 40.8225985866749)","(-73.95210583289882, 40.82217340055396)",CSCL_MN,ST,318.433245823,W 139 ST,4566.0,65944.0
5258,"(-73.9535726294737, 40.821975891625556)","(-73.95403532156483, 40.821339381054884)",CSCL_MN,,264.913494916,BROADWAY,155567.0,2951.0
5259,"(-73.9535726294737, 40.821975891625556)","(-73.95291029068697, 40.82169694642375)",CSCL_MN,ST,209.604851879,W 138 ST,8980.0,19767.0
5260,"(-73.95403532156483, 40.821339381054884)","(-73.95442947150238, 40.8208017073009)",CSCL_MN,,224.221932306,BROADWAY,163769.0,2952.0
5261,"(-73.95442947150238, 40.8208017073009)","(-73.95291029068697, 40.82169694642375)",CSCL_MN,PL,532.150009548,HAMILTON PL,245049.0,19840.0
5262,"(-73.95442947150238, 40.8208017073009)","(-73.95448438105159, 40.8207267987206)",CSCL_MN,,31.2381314284,BROADWAY,413308.0,2953.0
5263,"(-73.95448438105159, 40.8207267987206)","(-73.95496225634038, 40.82005038031051)",CSCL_MN,,279.694274514,BROADWAY,366759.0,2954.0
5264,"(-73.95448438105159, 40.8207267987206)","(-73.95174483562596, 40.81957261709682)",CSCL_MN,ST,867.051603331,W 136 ST,5000.0,182989.0
5265,"(-73.95496225634038, 40.82005038031051)","(-73.95507675337768, 40.82009716978752)",CSCL_MN,ST,35.984732897,W 135 ST,11857.0,19595.0
5266,"(-73.95496225634038, 40.82005038031051)","(-73.95545008463124, 40.81937683690409)",CSCL_MN,,280.089986394,BROADWAY,372768.0,2955.0
5267,"(-73.95496225634038, 40.82005038031051)","(-73.95219973177446, 40.818950248258815)",CSCL_MN,ST,863.308654073,W 135 ST,10434.0,19594.0
5268,"(-73.95545008463124, 40.81937683690409)","(-73.9555637647762, 40.81942619139011)",CSCL_MN,ST,36.240539935,W 134 ST,2943.0,95961.0
5269,"(-73.95545008463124, 40.81937683690409)","(-73.95590649043288, 40.818752022404084)",CSCL_MN,,260.344953693,BROADWAY,377594.0,2956.0
5270,"(-73.95545008463124, 40.81937683690409)","(-73.95272074171945, 40.81823557682195)",CSCL_MN,ST,862.324285972,W 134 ST,107.0,95960.0
5271,"(-73.95590649043288, 40.818752022404084)","(-73.95602024331761, 40.81880198676441)",CSCL_MN,ST,36.3689845063,W 133 ST,3585.0,26742.0
5272,"(-73.95590649043288, 40.818752022404084)","(-73.95637548119389, 40.81813102901413)",CSCL_MN,,260.845000021,BROADWAY,383322.0,2957.0
5273,"(-73.95590649043288, 40.818752022404084)","(-73.95529480604942, 40.8184802243588)",CSCL_MN,ST,196.139830272,W 133 ST,16453.0,26743.0
5274,"(-73.95637548119389, 40.81813102901413)","(-73.95648155070593, 40.81817466245465)",CSCL_MN,ST,33.3866456702,W 132 ST,5639.0,26735.0
5275,"(-73.95637548119389, 40.81813102901413)","(-73.9568280875621, 40.81750251757241)",CSCL_MN,,261.018239633,BROADWAY,386489.0,2958.0
5276,"(-73.9568280875621, 40.81750251757241)","(-73.95693663177006, 40.81754824960102)",CSCL_MN,ST,34.3550369377,W 131 ST,3297.0,92708.0
5277,"(-73.9568280875621, 40.81750251757241)","(-73.95727390725025, 40.81688940949956)",CSCL_MN,,255.195957677,BROADWAY,402584.0,2959.0
5278,"(-73.9568280875621, 40.81750251757241)","(-73.95580283071116, 40.81706067890746)",CSCL_MN,ST,326.262409016,W 131 ST,10774.0,92709.0
5279,"(-73.95727390725025, 40.81688940949956)","(-73.9573869783952, 40.81693624124396)",CSCL_MN,ST,35.6463276972,W 130 ST,2882.0,79046.0
5280,"(-73.95727390725025, 40.81688940949956)","(-73.95771833151966, 40.816277352693774)",CSCL_MN,,254.674504386,BROADWAY,408274.0,2960.0
